NOTICE_TYPE_CONFIG_ID,CIRC_POLICY_ID,NOTICE_TYPE 
1140,"RN-3DAY-MCL","NO-MUSIC-3DAY"
1141,"RN-3DAY-MUSIC","NO-PS-SHORT-LOANS"
1142,"RN-3HR-LSC-AV","NO-LILLY-AV-STDNT3DAY"
1143,"RN-4DAY-ELECTRONICEQUIP-LAW","NO-LAW-ALL"
1144,"RN-4HR-LAW","NO-LAW-ALL"
1145,"RN-4WCL-PERKINS-FRIENDS","NO-PS-STDLOAN"
1146,"RN-4WK-FORD","NO-FORD-4WK"
1147,"RN-4WK-MCL","NO-MCL-STDLOAN-4WK-8WK"
1148,"RN-5-15-FIXED-DIV","NO-PS-STDLOAN"
1149,"RN-5-15-FIXED-FORD","NO-FORD-STDLOAN"
1150,"RN-5-15-FIXED-MARINE-IPAD","NO-MARINE-IPAD"
1151,"RN-5-15-FIXED-PS","NO-PS-STDLOAN"
1152,"RN-5-31-FIXED-DIV","NO-PS-STDLOAN"
1153,"RN-5-31-FIXED-LAW","NO-LAW-ALL"
1154,"RN-5-31-FIXED-MUSIC","NO-PS-STDLOAN"
1155,"RN-5-31-FIXED-PS","NO-PS-STDLOAN"
1156,"RN-90-DAYS-LAW","NO-LAW-ALL"
1157,"RN-DIV-EREADER","NO-DIV-EREADER"
1158,"RN-DIV-NONCIRC","NO-PS-STDLOAN"
1159,"RN-DIV-NO-RENWALS","NO-PS-STDLOAN"
1160,"RN-DIV-SEMESTER-FIXED","NO-PS-STDLOAN"
1161,"RN-FORD-NO-RENEWAL","NO-FORD-STDLOAN"
1162,"RN-LAW-NO-RENEWALS","NO-LAW-ALL"
1163,"RN-LILLY-MARINE-BDPER","NO-PS-STDLOAN"
1164,"RN-LILLY-NO-RENEWALS","NO-PS-STDLOAN"
1165,"RN-LINK-NO-RENEWALS","NO-LINK-4WK"
1166,"RN-LSC-NO-RENEWALS","NO-PS-STDLOAN"
1167,"RN-MARINE-NO-RENEWALS","NO-PS-STDLOAN"
1168,"RN-MCL-NO-RENEWALS","NO-LINK-4WK"
1169,"RN-MUSIC-NO-RENEWALS","NO-PS-STDLOAN"
1170,"RN-PERKINS-NO-RENEWALS","NO-PS-STDLOAN"
1171,"RN-PK-STDLOAN-NOT-DUKE-AFFL","NO-PS-STDLOAN"
1172,"RN-PS-EREADER","NO-PS-EREADER"
1173,"RN-SEMESTER-FIXED-LAW-CARREL","NO-LAW-ALL"
1174,"RN-SEMESTER-FIXED-UNCGFS-PS","NO-PS-STDLOAN"
1175,"CO-SEMESTER-FIXED-DKU","NO-DKU-STDLOAN"
1176,"CO-3HR-DKU","NO-DKU-SHORT-LOAN"
1177,"CO-3DAY-DKU-AV","NO-DKU-SHORT-LOAN"
1178,"CO-3HR-EREADER-DKU","NO-DKU-EREADER"
