OLE_CRCL_DSK_LOCN_ID,OLE_CRCL_DSK_ID,OLE_CRCL_DSK_LOCN,OLE_CRCL_PICKUP_DSK_LOCN
10634,1,711,NULL
10635,1,712,NULL
10636,1,713,NULL
10637,1,714,NULL
10638,1,715,NULL
10639,1,716,NULL
1064,4,141,NULL
10640,1,717,NULL
10641,1,718,NULL
10642,1,719,NULL
10643,1,720,NULL
10644,1,721,NULL
10645,1,722,NULL
10646,1,723,NULL
10647,1,724,NULL
10648,1,725,NULL
10649,1,726,NULL
1065,4,142,NULL
10650,1,727,NULL
10651,1,728,NULL
10652,1,729,NULL
10653,1,730,NULL
10654,1,731,NULL
10655,1,732,NULL
10656,1,733,NULL
10657,1,734,NULL
10658,1,735,NULL
10659,1,736,NULL
1066,4,143,NULL
10660,1,737,NULL
10661,1,738,NULL
10662,1,739,NULL
10663,1,740,NULL
10664,1,741,NULL
10665,1,742,NULL
10666,1,743,NULL
10667,1,744,NULL
10668,1,745,NULL
10669,1,746,NULL
1067,4,144,NULL
10670,1,747,NULL
10671,1,748,NULL
10672,1,749,NULL
10673,1,750,NULL
10674,1,751,NULL
10675,1,752,NULL
10676,1,753,NULL
10677,1,754,NULL
10678,1,755,NULL
10679,1,756,NULL
1068,13,145,NULL
10680,1,757,NULL
10681,1,758,NULL
10682,1,759,NULL
10683,1,760,NULL
10684,1,761,NULL
10685,1,762,NULL
10686,1,763,NULL
10687,1,764,NULL
10688,1,765,NULL
10689,1,766,NULL
1069,13,146,NULL
10690,1,767,NULL
10691,1,768,NULL
10692,1,769,NULL
10693,1,770,NULL
10694,1,771,NULL
10695,1,772,NULL
10696,1,773,NULL
10697,1,774,NULL
10698,1,775,NULL
10699,1,776,NULL
1070,13,147,NULL
10700,1,777,NULL
10701,1,778,NULL
10702,1,779,NULL
10703,1,780,NULL
10704,1,781,NULL
10705,1,782,NULL
10706,7,783,NULL
10707,7,784,NULL
10708,7,785,NULL
10709,7,786,NULL
1071,9,148,NULL
10710,7,787,NULL
10711,7,788,NULL
10712,7,789,NULL
10713,7,790,NULL
10714,7,791,NULL
10715,7,792,NULL
10716,7,793,NULL
10717,7,794,NULL
10718,7,795,NULL
10719,7,796,NULL
1072,9,149,NULL
10720,7,797,NULL
10721,7,798,NULL
10722,7,799,NULL
10723,7,800,NULL
10724,7,801,NULL
10725,7,802,NULL
10726,7,803,NULL
10727,7,804,NULL
10728,7,805,NULL
10729,7,806,NULL
1073,9,150,NULL
10730,7,807,NULL
10731,7,808,NULL
10732,7,809,NULL
10733,7,810,NULL
10734,7,811,NULL
10735,7,812,NULL
10736,7,813,NULL
10737,7,814,NULL
10738,7,815,NULL
10739,7,816,NULL
1074,9,151,NULL
10740,7,817,NULL
10741,7,818,NULL
10742,7,819,NULL
10743,7,820,NULL
10744,7,821,NULL
10745,7,822,NULL
10746,7,823,NULL
10747,7,824,NULL
10748,7,825,NULL
10749,7,826,NULL
1075,9,152,NULL
10750,7,827,NULL
10751,7,828,NULL
10752,7,829,NULL
10753,7,830,NULL
10754,7,831,NULL
10755,7,832,NULL
10756,7,833,NULL
10757,7,834,NULL
10758,7,835,NULL
10759,7,836,NULL
1076,9,153,NULL
10760,7,837,NULL
10761,7,838,NULL
10762,7,839,NULL
10763,7,840,NULL
10764,10,101,DUKE/DIVINITY/PD
1077,9,154,NULL
1078,9,155,NULL
1079,9,156,NULL
1080,9,157,NULL
1081,9,158,NULL
1082,9,159,NULL
1083,9,160,NULL
1084,9,161,NULL
1085,9,162,NULL
1086,9,163,NULL
1087,9,164,NULL
1088,9,165,NULL
1089,9,166,NULL
1090,9,167,NULL
1091,9,168,NULL
1092,9,169,NULL
1093,9,170,NULL
1094,9,171,NULL
1095,9,172,NULL
1096,9,173,NULL
1097,9,174,NULL
