LOCN_ID,OBJ_ID,VER_NBR,LOCN_CD,LOCN_NAME,LEVEL_ID,PARENT_LOCN_ID
"318","ED448EC5-AC8F-4FA0-8773-2EA87A8D782B",1,"PLVM","Locked Media","5","16"
"319","5FC68D7E-56EB-4F06-88F6-84D1781C52C4",1,"PLVR","A-V Reference","5","16"
"320","077690B9-AA33-49B7-B6B0-A9BB78B3043D",1,"PLVR1","Film/Reference CD-ROM Station","5","16"
"321","ADF54E2C-D3E3-4CA0-8806-7D5C0C04230F",1,"PLVRR","A-V Reference","5","16"
"322","FA6150F4-5778-4530-94DA-09BBA39EC11D",1,"PLVV","A-V VCR Remote","5","16"
"323","F83A3187-E5B2-4262-A77D-320884545EAE",1,"PLW","Current Literature","5","16"
"324","02D7D388-3351-4ECE-9B03-EFA129F8C11D",1,"PLWF","Current Literature Oversize","5","16"
"325","D5979CFD-F9CB-4C2F-8F63-0760D734BC5E",1,"PLWV","Current Literature A-V","5","16"
"326","DF82E2D7-6014-427A-9EBB-FBF749D82D52",1,"PLX1","Open Reserve","5","16"
"327","978D4AEE-4B97-4210-AE3D-80DCF64FC901",1,"PLX1Q","Open Reserve","5","16"
"328","A15E1152-0125-48AC-A3FB-6C029FEF5473",1,"PLX2","Closed Reserve","5","16"
"329","3742DC04-EC46-4E04-8CEA-46E6F282CD3B",1,"PLXKR","Ebook Reader Reserve","5","16"
"330","8898101A-8195-4A9C-8953-3FC1CC7D4063",1,"PLXY","Perkins Papyrology Reserve","5","16"
"331","C112E2B4-EDA4-4DA6-8C07-8F84EF9247DD",1,"PN","Link Equipment","5","17"
"332","1FD0B0CD-0CD7-4B37-924D-E7F4B7D5A45A",1,"PSB","","5","18"
"333","0277F67B-E02B-40FE-9382-A4022F4AC5FE",1,"PSBF","","5","18"
"334","F8B192B6-6E03-4E5F-9B60-693FD90C833C",1,"PSBP","Periodicals","5","18"
"335","EB388139-9A5A-40B9-B1C1-1D0632D4A886",1,"PSBQ","","5","18"
"336","4352445F-41F1-4E0B-A787-34420F30545E",1,"PSC","","5","18"
"337","215E3FFF-83F6-46C1-ACD7-0A01E510C5A9",1,"PSCH","","5","18"
"338","F89F550B-9476-4B57-95BD-D25FDD5D4990",1,"PSCP","Periodicals","5","18"
"339","53CCB5A1-64CF-4C5C-ABFD-2A7EA77BF306",1,"PSCT","","5","18"
"340","E3DD4AED-BF7D-4DC6-BB85-23B5B37798D9",1,"PSD","","5","18"
"341","2AEF4AE6-CFAC-4634-A0A1-3D000D1E198E",1,"PSDF","","5","18"
"342","FB97D4DD-EEF7-4959-B400-7D7A13EF24C7",1,"PSDM","","5","18"
"343","D11E93E1-716E-4840-AB20-E738A39925B9",1,"PSDP","Periodicals","5","18"
"344","39715C55-01DF-406E-A13B-415C1E27FB94",1,"PSDQ","","5","18"
"345","06B19ACF-6F34-4A73-AA60-7188B44A80DB",1,"PSDV","","5","18"
